agent.ip,agent.id,agent.type,agent.version,agent.name,@timestamp,input.type,log.file.path,rule.level,rule.groups,message,location,id,error.type,error.message,agent.hostname,data.command,data.file,data.status,data.title,_score
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:22.001",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.968",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.961",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.958",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:56:21.783",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog",-,/var/log/auth.log,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.741",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.442",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867582,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:21.397",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867581,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:56:20.238",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog, authentication_success",-,/var/log/auth.log,1744867580,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:56:20.200",log,/var/ossec/logs/alerts/alerts.json,3,"syslog, sudo",-,/var/log/auth.log,1744867580,-,-,wazuh-server,/usr/bin/systemctl status elasticsearch,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:19.148",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867579,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:19.129",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867578,-,-,wazuh-server,-,-,-,-,-
192.168.56.108,7,filebeat,7.10.2,LAPTOP-RSR2EPL0,"Apr 17, 2025 @ 10:56:19.100",log,/var/ossec/logs/alerts/alerts.json,3,"windows, windows_security, authentication_success",-,EventChannel,1744867578,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:56:18.091",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog, authentication_success",-,/var/log/auth.log,1744867571,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:55:52.769",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog",-,/var/log/auth.log,1744867544,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:55:52.753",log,/var/ossec/logs/alerts/alerts.json,3,"syslog, sudo",-,/var/log/auth.log,1744867542,-,-,wazuh-server,/usr/bin/systemctl status filebeat,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:55:52.684",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog, authentication_success",-,/var/log/auth.log,1744867542,-,-,wazuh-server,-,-,-,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:54:27.601",log,/var/ossec/logs/alerts/alerts.json,3,"local, syslog, apparmor",-,/var/log/syslog,1744867466,-,-,wazuh-server,-,-,DENIED,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:54:27.601",log,/var/ossec/logs/alerts/alerts.json,3,"local, syslog, apparmor",-,/var/log/syslog,1744867466,-,-,wazuh-server,-,-,DENIED,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:54:27.601",log,/var/ossec/logs/alerts/alerts.json,3,"local, syslog, apparmor",-,/var/log/kern.log,1744867466,-,-,wazuh-server,-,-,DENIED,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:54:27.601",log,/var/ossec/logs/alerts/alerts.json,3,"local, syslog, apparmor",-,/var/log/kern.log,1744867466,-,-,wazuh-server,-,-,DENIED,-,-
-,0,filebeat,7.10.2,wazuh-server,"Apr 17, 2025 @ 10:54:24.599",log,/var/ossec/logs/alerts/alerts.json,3,"pam, syslog, authentication_success",-,/var/log/auth.log,1744867461,-,-,wazuh-server,-,-,-,-,-
192.168.56.107,2,filebeat,7.10.2,kali,"Apr 17, 2025 @ 10:53:59.554",log,/var/ossec/logs/alerts/alerts.json,7,"ossec, rootcheck",-,rootcheck,1744867431,-,-,wazuh-server,-,/usr/bin/chfn,-,Trojaned version of file detected.,-
192.168.56.107,2,filebeat,7.10.2,kali,"Apr 17, 2025 @ 10:53:59.554",log,/var/ossec/logs/alerts/alerts.json,7,"ossec, rootcheck",-,rootcheck,1744867431,-,-,wazuh-server,-,/usr/bin/chsh,-,Trojaned version of file detected.,-
192.168.56.107,2,filebeat,7.10.2,kali,"Apr 17, 2025 @ 10:53:59.554",log,/var/ossec/logs/alerts/alerts.json,7,"ossec, rootcheck",-,rootcheck,1744867431,-,-,wazuh-server,-,/bin/chsh,-,Trojaned version of file detected.,-
